degradation(Property_Behavior),"The consecutive discharging cycles in the same pattern form a degradation stage. The multi-stage identi?cation will not only improve in-depth analysis of degradation mechanisms but also may contribute to other related topics, such as state of health estimation."
DFT(Characterization),"DFT is used to calculate basic electronic properties including adiabatic electron affinity (EA), highest occupied molecular orbital (HOMO), lowest unoccupied molecular orbital (LUMO), and the HOMO-LUMO gap, which have been used as input features (or descriptors) to train the machine learning models [12]."
adiabatic electron affinity(Property_Behavior),"DFT is used to calculate basic electronic properties including adiabatic electron affinity (EA), highest occupied molecular orbital (HOMO), lowest unoccupied molecular orbital (LUMO), and the HOMO-LUMO gap, which have been used as input features (or descriptors) to train the machine learning models [12]."
EA(Property_Behavior),"DFT is used to calculate basic electronic properties including adiabatic electron affinity (EA), highest occupied molecular orbital (HOMO), lowest unoccupied molecular orbital (LUMO), and the HOMO-LUMO gap, which have been used as input features (or descriptors) to train the machine learning models [12]."
highest occupied molecular orbital(Property_Behavior),"DFT is used to calculate basic electronic properties including adiabatic electron affinity (EA), highest occupied molecular orbital (HOMO), lowest unoccupied molecular orbital (LUMO), and the HOMO-LUMO gap, which have been used as input features (or descriptors) to train the machine learning models [12]."
HOMO(Property_Behavior),"DFT is used to calculate basic electronic properties including adiabatic electron affinity (EA), highest occupied molecular orbital (HOMO), lowest unoccupied molecular orbital (LUMO), and the HOMO-LUMO gap, which have been used as input features (or descriptors) to train the machine learning models [12]."
lowest unoccupied molecular orbital(Property_Behavior),"DFT is used to calculate basic electronic properties including adiabatic electron affinity (EA), highest occupied molecular orbital (HOMO), lowest unoccupied molecular orbital (LUMO), and the HOMO-LUMO gap, which have been used as input features (or descriptors) to train the machine learning models [12]."
LUMO(Property_Behavior),"DFT is used to calculate basic electronic properties including adiabatic electron affinity (EA), highest occupied molecular orbital (HOMO), lowest unoccupied molecular orbital (LUMO), and the HOMO-LUMO gap, which have been used as input features (or descriptors) to train the machine learning models [12]."
IndRNN network(Characterization),All 18 input features extracted from three battery sets are provided as an input to the IndRNN network to establish the relationship with battery capacity.
battery output current(Property_Behavior),"In particular, battery output current, terminal voltage, time difference between samples and temperature are the four features selected for each discharge cycle. The target of the estimation is the capacity of the considered cycle"
terminal voltage(Property_Behavior),"In particular, battery output current, terminal voltage, time difference between samples and temperature are the four features selected for each discharge cycle. The target of the estimation is the capacity of the considered cycle"
time difference(Condition),"In particular, battery output current, terminal voltage, time difference between samples and temperature are the four features selected for each discharge cycle. The target of the estimation is the capacity of the considered cycle"
temperature(Condition),"In particular, battery output current, terminal voltage, time difference between samples and temperature are the four features selected for each discharge cycle. The target of the estimation is the capacity of the considered cycle"
reinforcement learning approach(Characterization),"In this paper, we have examined a reinforcement learning approach for the battery fast-charging problem in the presence of safety constraints."
model-free reinforcement learning framework(Characterization),"With the aim of overcoming these limitations, in this paper we propose a fast-charging strategy subject to safety constraints which relies on a model-free reinforcement learning framework."
ionic conductivity(Feature),"The enhanced ionic conductivity of the pellets spark plasma-sintered at 700 and 750 degree C directly translates into a drop in overpotential of the cell from 0.44 V for the conventional cell to 0.34 eV for the 700 degree C sample and to 0.27 V for the 750 degree C sample, all at a moderate current density of 0.08 mA cm?2."
700 and 750 degree C(Condition),"The enhanced ionic conductivity of the pellets spark plasma-sintered at 700 and 750 degree C directly translates into a drop in overpotential of the cell from 0.44 V for the conventional cell to 0.34 eV for the 700 degree C sample and to 0.27 V for the 750 degree C sample, all at a moderate current density of 0.08 mA cm?2."
700 degree C(Condition),"The enhanced ionic conductivity of the pellets spark plasma-sintered at 700 and 750 degree C directly translates into a drop in overpotential of the cell from 0.44 V for the conventional cell to 0.34 eV for the 700 degree C sample and to 0.27 V for the 750 degree C sample, all at a moderate current density of 0.08 mA cm?2."
750 degree C(Condition),"The enhanced ionic conductivity of the pellets spark plasma-sintered at 700 and 750 degree C directly translates into a drop in overpotential of the cell from 0.44 V for the conventional cell to 0.34 eV for the 700 degree C sample and to 0.27 V for the 750 degree C sample, all at a moderate current density of 0.08 mA cm?2."
0.08 mA cm?2(Condition),"The enhanced ionic conductivity of the pellets spark plasma-sintered at 700 and 750 degree C directly translates into a drop in overpotential of the cell from 0.44 V for the conventional cell to 0.34 eV for the 700 degree C sample and to 0.27 V for the 750 degree C sample, all at a moderate current density of 0.08 mA cm?2."
SOH(Property_Behavior),"Via constructing four input features from the constant-current constant voltage charging curves, Yang et al. [30] applies the GPR technique to estimate the battery SOH."
observed cycle life(Property_Behavior),"Cycle life transforming and cycle averaging.¨DNext, we consider two additional variations of Figure 3: using the observed cycle life instead of the lg-transformed cycle life (Figure 4) and local cycle averaging (Figure 5)."
lg-transformed cycle life(Property_Behavior),"Cycle life transforming and cycle averaging.¨DNext, we consider two additional variations of Figure 3: using the observed cycle life instead of the lg-transformed cycle life (Figure 4) and local cycle averaging (Figure 5)."
cycle averaging(Property_Behavior),"Cycle life transforming and cycle averaging.¨DNext, we consider two additional variations of Figure 3: using the observed cycle life instead of the lg-transformed cycle life (Figure 4) and local cycle averaging (Figure 5)."
SSA(Characterization),"Iteratively perform cycling SSA method on the remaining cycling data. Based on the obtained stationary subspace, invariants in these cycles are obtained. In Fig. 6, different degradation behaviors are observed at the 27th cycle, where the rate of false classi?cation rises rapidly and above the normal level ever since. Therefore, the cycles from"
subspace(Structure),"Iteratively perform cycling SSA method on the remaining cycling data. Based on the obtained stationary subspace, invariants in these cycles are obtained. In Fig. 6, different degradation behaviors are observed at the 27th cycle, where the rate of false classi?cation rises rapidly and above the normal level ever since. Therefore, the cycles from"
state of safety(Property_Behavior),A quantitative definition of the state of safety (SOS) has been provided as the inverse of safety.
RF(Characterization),"RF model makes predictions using multiple decision trees that ?nd the partition to which the new input belongs, choos-ing between subspaces with small variations [41]."
PEM algorithm(Characterization),The PEM algorithm [23] is utilized as the identi?cation al-gorithm.
identi?cation al-gorithm(Characterization),The PEM algorithm [23] is utilized as the identi?cation al-gorithm.
diffusion(Property_Behavior),Kinetic properties like ionic diffusion within locally resolved atomic structures is needed to perform longer time and length scale simulations like kinetic Monte Carlo in order to accurately estimate kinetic properties like power densities in battery electrodes
kinetic Monte Carlo(Characterization),Kinetic properties like ionic diffusion within locally resolved atomic structures is needed to perform longer time and length scale simulations like kinetic Monte Carlo in order to accurately estimate kinetic properties like power densities in battery electrodes
internal resistance(Condition),"In this work, we ignore the less predictive datastreams like internal resistance and temperature and focus on developing new representations of these voltage-capacity data."
temperature(Condition),"In this work, we ignore the less predictive datastreams like internal resistance and temperature and focus on developing new representations of these voltage-capacity data."
KRA model(Characterization),"The features are standardized before fitting the KRA model, i.e., rescaled and shifted to zero mean and unit variance."
SOH(Property_Behavior),A data-driven based SOH estimation using an independently recurrent neural network (IndRNN) is developed with the help of vital battery parameters collected from LIBs;
independently recurrent neural network(Characterization),A data-driven based SOH estimation using an independently recurrent neural network (IndRNN) is developed with the help of vital battery parameters collected from LIBs;
IndRNN(Characterization),A data-driven based SOH estimation using an independently recurrent neural network (IndRNN) is developed with the help of vital battery parameters collected from LIBs;
polypropylene(Composition),Our new cell design based on a polypropylene window may help in future experiments regarding the investigation of thin lithium metal and the ceramic solid electrolyte interface.
ceramic solid electrolyte(Application),Our new cell design based on a polypropylene window may help in future experiments regarding the investigation of thin lithium metal and the ceramic solid electrolyte interface.
oxygen dumbbell hop(Feature),"The transport in a straight line is referred to as an oxygen dumbbell hop (ODH) as the term was originally coined for oxides, and the transport through the tetrahedron is referred to as tetrahedron site hop (TSH) [12, 13]."
ODH(Feature),"The transport in a straight line is referred to as an oxygen dumbbell hop (ODH) as the term was originally coined for oxides, and the transport through the tetrahedron is referred to as tetrahedron site hop (TSH) [12, 13]."
tetrahedron(Structure),"The transport in a straight line is referred to as an oxygen dumbbell hop (ODH) as the term was originally coined for oxides, and the transport through the tetrahedron is referred to as tetrahedron site hop (TSH) [12, 13]."
tetrahedron site hop(Feature),"The transport in a straight line is referred to as an oxygen dumbbell hop (ODH) as the term was originally coined for oxides, and the transport through the tetrahedron is referred to as tetrahedron site hop (TSH) [12, 13]."
TSH(Feature),"The transport in a straight line is referred to as an oxygen dumbbell hop (ODH) as the term was originally coined for oxides, and the transport through the tetrahedron is referred to as tetrahedron site hop (TSH) [12, 13]."
Decision tree(Characterization),"Decision trees, also called Classi?cation and Regression Tree (CART), are statistical model ?rstly introduced in[46]."
Classi?cation and Regression Tree(Characterization),"Decision trees, also called Classi?cation and Regression Tree (CART), are statistical model ?rstly introduced in[46]."
CART(Characterization),"Decision trees, also called Classi?cation and Regression Tree (CART), are statistical model ?rstly introduced in[46]."
temperature(Condition),"It is demonstrated in the literature that battery¡¯s performance is a function of different factors such as SOC, state of health (SOH) [36], and temperature. So gener- ally cell¡¯s parameters are functions of those variables as follows:"
Li(Composition),using average Li concentration in active material c0 and Open Circuit Voltage (OCV) function
Open Circuit Voltage(Property_Behavior),using average Li concentration in active material c0 and Open Circuit Voltage (OCV) function
ME(Characterization),"Here the ME, MAE, RMSE of ¡®Model B¡¯ are less than 0.26Ah (1.2%), 0.07Ah (0.3%) and 0.09Ah (0.4%) for all multi-step prediction cases."
MAE(Characterization),"Here the ME, MAE, RMSE of ¡®Model B¡¯ are less than 0.26Ah (1.2%), 0.07Ah (0.3%) and 0.09Ah (0.4%) for all multi-step prediction cases."
RMSE(Characterization),"Here the ME, MAE, RMSE of ¡®Model B¡¯ are less than 0.26Ah (1.2%), 0.07Ah (0.3%) and 0.09Ah (0.4%) for all multi-step prediction cases."
0.26Ah(Condition),"Here the ME, MAE, RMSE of ¡®Model B¡¯ are less than 0.26Ah (1.2%), 0.07Ah (0.3%) and 0.09Ah (0.4%) for all multi-step prediction cases."
0.07Ah(Condition),"Here the ME, MAE, RMSE of ¡®Model B¡¯ are less than 0.26Ah (1.2%), 0.07Ah (0.3%) and 0.09Ah (0.4%) for all multi-step prediction cases."
0.09Ah(Condition),"Here the ME, MAE, RMSE of ¡®Model B¡¯ are less than 0.26Ah (1.2%), 0.07Ah (0.3%) and 0.09Ah (0.4%) for all multi-step prediction cases."
semi-empirical model(Characterization),"However, semi-empirical models are inherently open-loop approaches, compromising their generalization and adaptability particularly in long-term predictions."
open-loop approach(Characterization),"However, semi-empirical models are inherently open-loop approaches, compromising their generalization and adaptability particularly in long-term predictions."
RL(Characterization),"The recent success in several applications of RL based on deep neural networks as function approximators has greatly increased expectations in the scienti?c community [13], [14], [15], [16]."
ML model(Characterization),The nature of uncertainties from both the ML models and the CE method are such that those are larger when the barriers themselves are larger.
CE method(Characterization),The nature of uncertainties from both the ML models and the CE method are such that those are larger when the barriers themselves are larger.
capacity(Property_Behavior),"To distinguish from the capacity loss in calendar storage, in this article, capacity fade only refers to the ¡°cycle life¡± loss in battery discharge ability over time. Related with complex physical and chemical mechanisms, performance degradation is a rather complex procedure. Besides, frequent usage and exposure to harsh environmental conditions will disturb the degradation speed."
degradation(Property_Behavior),"To distinguish from the capacity loss in calendar storage, in this article, capacity fade only refers to the ¡°cycle life¡± loss in battery discharge ability over time. Related with complex physical and chemical mechanisms, performance degradation is a rather complex procedure. Besides, frequent usage and exposure to harsh environmental conditions will disturb the degradation speed."
XGBoost method(Characterization),In this paper we propose to adopt a direct forecasting [40] approach using XGBoost method.
energy densities(Feature),"Therefore, extensive researches on the fabrication of battery platforms and components and the developing of cost-effective catalysts need to be considered for further enhancing the volumetric and gravimetric energy densities."
PEM(Characterization),"For a suf?ciently economical model structure, PEM is fast enough to be used in real-time applications such as a battery management system (BMS). In the identi?cation procedure, the model parameter vector (©±) is determined so that the prediction error (©º) is minimized, which is de?ned as follows:"
battery management system(Application),"For a suf?ciently economical model structure, PEM is fast enough to be used in real-time applications such as a battery management system (BMS). In the identi?cation procedure, the model parameter vector (©±) is determined so that the prediction error (©º) is minimized, which is de?ned as follows:"
BMS(Application),"For a suf?ciently economical model structure, PEM is fast enough to be used in real-time applications such as a battery management system (BMS). In the identi?cation procedure, the model parameter vector (©±) is determined so that the prediction error (©º) is minimized, which is de?ned as follows:"
SoC(Property_Behavior),The SoC and temperature are taken into account via a ¡±driving matrix¡± and a ¡±driving matrix¡±.
temperature(Condition),The SoC and temperature are taken into account via a ¡±driving matrix¡± and a ¡±driving matrix¡±.
cyclic capacity(Property_Behavior),"Hence, benefits of modified covariance functions are insufficiently harnessed in the field of battery cyclic capacity prediction."
Lithium-rich transition metal oxyfluoride(Feature),Lithium-rich transition metal oxyfluorides have garnered significant interest in recent years for their application as high energy density cathode materials for lithium-ion batteries
cathode(Application),Lithium-rich transition metal oxyfluorides have garnered significant interest in recent years for their application as high energy density cathode materials for lithium-ion batteries
reinforcement learning(Characterization),"In this section a standard reinforcement learning setup is presented, along with the main feature of Approximate Dynamic Programming and actor-critic algorithm."
Approximate Dynamic Programming(Characterization),"In this section a standard reinforcement learning setup is presented, along with the main feature of Approximate Dynamic Programming and actor-critic algorithm."
actor-critic algorithm(Characterization),"In this section a standard reinforcement learning setup is presented, along with the main feature of Approximate Dynamic Programming and actor-critic algorithm."
current rate(Condition),"In fact, fast charging implies a high charging current rate."
phase subspace(Structure),"First, dynamics hidden behind process variables are unfolded in the framework of phase subspace, yielding reconstructed data. Next, invariants indicat-ing degradation trend are decomposed by linear superposition of the reconstructed data, which are computed using cycling SSA. Third, the monitoring strategy on invariants is given, distinguishing degradation stages from each other."
cycling SSA(Characterization),"First, dynamics hidden behind process variables are unfolded in the framework of phase subspace, yielding reconstructed data. Next, invariants indicat-ing degradation trend are decomposed by linear superposition of the reconstructed data, which are computed using cycling SSA. Third, the monitoring strategy on invariants is given, distinguishing degradation stages from each other."
cycling DODs(Condition),"The but under the different cycling DODs (50%, 80% and 100%) other two cases (Case 5 and Case 6) are used to verify the and temperatures (35 degree C and 45 degree C)."
50%(Condition),"The but under the different cycling DODs (50%, 80% and 100%) other two cases (Case 5 and Case 6) are used to verify the and temperatures (35 degree C and 45 degree C)."
80%(Condition),"The but under the different cycling DODs (50%, 80% and 100%) other two cases (Case 5 and Case 6) are used to verify the and temperatures (35 degree C and 45 degree C)."
100%(Condition),"The but under the different cycling DODs (50%, 80% and 100%) other two cases (Case 5 and Case 6) are used to verify the and temperatures (35 degree C and 45 degree C)."
temperature(Condition),"The but under the different cycling DODs (50%, 80% and 100%) other two cases (Case 5 and Case 6) are used to verify the and temperatures (35 degree C and 45 degree C)."
35 degree C(Condition),"The but under the different cycling DODs (50%, 80% and 100%) other two cases (Case 5 and Case 6) are used to verify the and temperatures (35 degree C and 45 degree C)."
45 degree C(Condition),"The but under the different cycling DODs (50%, 80% and 100%) other two cases (Case 5 and Case 6) are used to verify the and temperatures (35 degree C and 45 degree C)."
Q-function(Characterization),"The next de?nition, known as the ¡°Q-function,¡± plays a crucial role in model-free reinforcement learning."
model-free reinforcement learning(Characterization),"The next de?nition, known as the ¡°Q-function,¡± plays a crucial role in model-free reinforcement learning."
distance(Condition),"The data are comprised of variables such as distance, speed, temperature, charging power, and more."
speed(Condition),"The data are comprised of variables such as distance, speed, temperature, charging power, and more."
temperature(Condition),"The data are comprised of variables such as distance, speed, temperature, charging power, and more."
charging power(Condition),"The data are comprised of variables such as distance, speed, temperature, charging power, and more."
Na+(Composition),"We observe that with the increase of Na+ concentration and temperature, the jump frequency increases."
temperature(Condition),"We observe that with the increase of Na+ concentration and temperature, the jump frequency increases."
frequency(Condition),"We observe that with the increase of Na+ concentration and temperature, the jump frequency increases."
RNN(Characterization),"In addition, RNN can be more suitable for time-series forecasting applications like SOC and SOH estimation, which predict their present output based on a history of previous output and present input over a time."
SOC(Property_Behavior),"In addition, RNN can be more suitable for time-series forecasting applications like SOC and SOH estimation, which predict their present output based on a history of previous output and present input over a time."
SOH(Property_Behavior),"In addition, RNN can be more suitable for time-series forecasting applications like SOC and SOH estimation, which predict their present output based on a history of previous output and present input over a time."
IndRNN(Characterization),"In addition, IndRNN outperforms other similar RNN models such as GRU and LSTM with much less RMSE and MAE error values of 1.33% and 1.14%, respectively."
RNN model(Characterization),"In addition, IndRNN outperforms other similar RNN models such as GRU and LSTM with much less RMSE and MAE error values of 1.33% and 1.14%, respectively."
GRU(Characterization),"In addition, IndRNN outperforms other similar RNN models such as GRU and LSTM with much less RMSE and MAE error values of 1.33% and 1.14%, respectively."
LSTM(Characterization),"In addition, IndRNN outperforms other similar RNN models such as GRU and LSTM with much less RMSE and MAE error values of 1.33% and 1.14%, respectively."
Gradient Boosting Regression(Characterization),"Another highly promising learning model is Gradient Boosting Regression (GBR), which is an ensemble ML technique that minimizes a loss function across many weak learners through a process known as boosting [28,29];"
GBR(Characterization),"Another highly promising learning model is Gradient Boosting Regression (GBR), which is an ensemble ML technique that minimizes a loss function across many weak learners through a process known as boosting [28,29];"
Random Forest(Characterization),"Thus, a Random Forest (RF) model and an SVR model were evaluated using the aforementioned dataset, and then were used as a baseline for the developed architectures."
RF(Characterization),"Thus, a Random Forest (RF) model and an SVR model were evaluated using the aforementioned dataset, and then were used as a baseline for the developed architectures."
SVR(Characterization),"Thus, a Random Forest (RF) model and an SVR model were evaluated using the aforementioned dataset, and then were used as a baseline for the developed architectures."
The inductive effect(Property_Behavior),"The inductive effect is caused by the geometry of the cell and the porosity of the electrode plates of the cell [12,13]."
high-energy ball-milling approach(Characterization),"These materials are typically synthesized using a high-energy ball-milling approach, which introduces a high degree of site disorder [1, 2]."
redox potential(Property_Behavior),"In our previous studies, we have developed a DFT-based protocol to predict the redox potential of organic electrode materials with high accuracy, in which the predicted redox potentials have uncertainties of round 0.2 V [13e21]."
redox potential(Property_Behavior),"In our previous studies, we have developed a DFT-based protocol to predict the redox potential of organic electrode materials with high accuracy, in which the predicted redox potentials have uncertainties of round 0.2 V [13e21]."
random forest regression(Characterization),"Although random forest regression does not result in a linear model, this method has ""feature importance""metrics that can aid in interpretability; Gini importance is used in this work."
